quote_date,underlying_last,expire_date,dte,c_last,strike,p_last
2021-01-04,129.45,2021-01-29,25.0,15.66,115.0,1.34
2021-01-04,129.45,2021-01-29,25.0,19.07,116.0,1.49
2021-01-04,129.45,2021-01-29,25.0,14.0,117.0,1.62
2021-01-04,129.45,2021-01-29,25.0,13.13,118.0,1.78
2021-01-04,129.45,2021-01-29,25.0,12.21,119.0,2.08
2021-01-04,129.45,2021-01-29,25.0,11.85,120.0,2.16
2021-01-04,129.45,2021-01-29,25.0,10.65,121.0,2.48
2021-01-04,129.45,2021-01-29,25.0,10.1,122.0,2.76
2021-01-04,129.45,2021-01-29,25.0,9.33,123.0,3.05
2021-01-04,129.45,2021-01-29,25.0,8.9,124.0,3.42
2021-01-04,129.45,2021-01-29,25.0,8.35,125.0,3.75
2021-01-04,129.45,2021-01-29,25.0,7.45,126.0,3.99
2021-01-04,129.45,2021-01-29,25.0,6.96,127.0,4.52
2021-01-04,129.45,2021-01-29,25.0,6.36,128.0,4.85
2021-01-04,129.45,2021-01-29,25.0,5.9,129.0,5.55
2021-01-04,129.45,2021-01-29,25.0,5.4,130.0,5.99
2021-01-04,129.45,2021-01-29,25.0,4.95,131.0,6.6
2021-01-04,129.45,2021-01-29,25.0,4.6,132.0,7.44
2021-01-04,129.45,2021-01-29,25.0,4.05,133.0,7.6
2021-01-04,129.45,2021-01-29,25.0,3.75,134.0,8.35
2021-01-04,129.45,2021-01-29,25.0,3.5,135.0,9.24
2021-01-04,129.45,2021-01-29,25.0,3.05,136.0,10.68
2021-01-04,129.45,2021-01-29,25.0,2.79,137.0,10.88
2021-01-04,129.45,2021-01-29,25.0,2.64,138.0,11.5
2021-01-04,129.45,2021-01-29,25.0,2.36,139.0,12.65
2021-01-04,129.45,2021-01-29,25.0,2.08,140.0,12.95
2021-01-04,129.45,2021-01-29,25.0,1.97,141.0,14.25
2021-01-04,129.45,2021-01-29,25.0,1.63,142.0,15.1
2021-01-04,129.45,2021-01-29,25.0,1.6,143.0,14.4
2021-01-04,129.45,2021-01-29,25.0,1.4,144.0,11.24
2021-01-04,129.45,2021-01-29,25.0,1.28,145.0,16.9
2021-01-04,129.45,2021-01-29,25.0,1.11,146.0,13.55
2021-01-04,129.45,2021-01-29,25.0,1.05,147.0,0.0
2021-01-04,129.45,2021-01-29,25.0,0.96,148.0,16.35
